entity,code,year,unsafe_water_source,unsafe_sanitation,no_access_handwashing,sum,unsafe_water_perct,unsafe_sanitation_perct,no_handwashing_perct
Croatia,HRV,2017,8.835385653064161,1.5390179319803512,3.9926195276969683,74967.62669934145,0.011785601388314693,0.002052910035624578,0.005325791549610361
Cuba,CUB,2017,206.00333256318984,79.42369542244991,249.84118157633912,108817.42430039345,0.18931098019239276,0.07298803103738115,0.22959666908366236
Cyprus,CYP,2017,1.1625732152477115,0.566744212213464,1.6627131949336007,11386.43452711011,0.01021016027870468,0.00497736329018619,0.014602579859172116
Czechia,CZE,2017,52.547090694503524,3.7592418125908305,22.410954661068764,159979.54405917405,0.032846131049771674,0.0023498265573255687,0.014008637662312182
Democratic Republic of Congo,COD,2017,30914.961239650016,22776.330038797416,25418.673605711447,559264.7315426847,5.527786662744439,4.072548965490962,4.545016370976259
Denmark,DNK,2017,8.557294331874674,4.721509010498402,22.169263386384202,54902.084004825985,0.015586465408348568,0.008599872110653165,0.04037963911248885
Djibouti,DJI,2017,203.61094060698898,150.00213379553162,172.39735727126305,8210.021525763035,2.480029315003111,1.8270613947213799,2.0998405026135485
Dominica,DMA,2017,1.2394337061660017,0.4692350729835174,1.978845718186225,2699.8035886187085,0.04590829167688191,0.017380341109317164,0.07329591406309136
Dominican Republic,DOM,2017,332.0688301720301,124.63843937320514,395.47582052045266,78258.84410856888,0.4243211536722282,0.15926434998234018,0.5053432938158492
Ecuador,ECU,2017,208.26529580835134,76.70379342043258,281.9855066743295,84259.1637509299,0.24717227959202584,0.0910331766965656,0.3346644971553227
Egypt,EGY,2017,3142.490312615249,2534.9637466330064,1354.8052650462798,790479.1368566568,0.3975424734309084,0.320686989502759,0.1713903886740981
El Salvador,SLV,2017,204.56241728134984,142.152601076573,165.03186688002026,45968.15748443883,0.4450089550589415,0.309241459426984,0.3590134473757991
Equatorial Guinea,GNQ,2017,160.37796828812859,76.63782591796459,129.24968726718927,7641.254405751605,2.09884345909765,1.0029482313830431,1.691472111828949
Eritrea,ERI,2017,3083.7056939157033,2382.981982502387,2201.441606453724,40781.77614441928,7.561479625103794,5.843252079221867,5.398101344722763
Estonia,EST,2017,0.7475934694062275,0.3349913221999325,2.3491464790347143,23622.873857749273,0.0031647016104307995,0.0014180803073206166,0.009944372108070575
Eswatini,SWZ,2017,439.9033416769754,320.15897745787976,262.2242410514974,13342.675449306795,3.296965015362269,2.3995110926160863,1.965304799983882
Ethiopia,ETH,2017,47812.20061057915,38734.89430107173,33326.92687361701,514261.82150273916,9.297248718729644,7.53213493233532,6.480536854987882
Fiji,FJI,2017,54.97392256493432,24.715088660775088,14.343345717721617,14861.100213399455,0.36991825487703317,0.1663072606057176,0.09651604196026477
Finland,FIN,2017,1.1379682901424577,0.8730445550450628,5.339278799835517,58089.96802896555,0.0019589755834863425,0.0015029179472258178,0.009191395659183662
France,FRA,2017,59.22350103548915,28.992320372499947,156.93180604391853,482784.5595354379,0.012267066099312971,0.006005229413384299,0.0325055561418383
Gabon,GAB,2017,253.1413613806884,176.19668276963523,224.67397101889918,12795.866615792707,1.9783057215387065,1.3769812398026455,1.7558323931073625
Gambia,GMB,2017,504.4311554368998,368.3039852676977,450.2708037072644,16292.277200807497,3.096136588026495,2.2606047069309834,2.763706989253458
Georgia,GEO,2017,8.558750592273629,8.13530777879152,16.30380261294255,88772.3136061499,0.00964123863014955,0.009164239894529379,0.01836586425501596
