entity,code,year,unsafe_water_source,unsafe_sanitation,no_access_handwashing,sum,unsafe_water_perct,unsafe_sanitation_perct,no_handwashing_perct,country_name,safe_water_2017
Iraq,IRQ,2017,420.9160943283883,208.3674960964127,118.45668649421059,160888.74441570014,0.2616193543289991,0.1295103003340235,0.07362645965347661,Iraq,58.8333265989116
Ireland,IRL,2017,1.008425766480928,1.5923747233431054,8.92260453470741,33744.41536515906,0.002988422693261779,0.004718928172592447,0.02644172209876232,Ireland,97.32282427921749
Israel,ISR,2017,10.417352593414869,10.363165643907204,21.226523435142926,44153.732204841304,0.023593368155348467,0.023470644782256748,0.0480741318461308,Israel,99.3818036813007
Italy,ITA,2017,37.467568721149455,26.273968122193228,109.066623831863,624575.7934930385,0.005998882619450583,0.00420669010805749,0.01746251215114994,Italy,95.03961455612671
Japan,JPN,2017,470.6524031525859,103.85188473916114,1368.371990057916,999428.7895876841,0.04709213983587108,0.010391123992136087,0.1369154065115975,Japan,98.453707486669
Jordan,JOR,2017,25.4679002736218,6.528737218674345,40.204580084008406,36987.483973699884,0.06885545470389623,0.017651206617126575,0.10869779656436228,Jordan,93.8183435908943
Kazakhstan,KAZ,2017,39.48368284831857,38.961556591051576,78.01150806086238,204948.9204091262,0.01926513336566978,0.019010374152386433,0.03806387850452351,Kazakhstan,89.51225142616829
Kuwait,KWT,2017,2.9421121793625997,0.4731544893185135,13.99716888271391,13059.938083138419,0.022527765144316703,0.0036229458846317158,0.10717638011458525,Kuwait,100.0
Kyrgyzstan,KGZ,2017,75.65249693910141,84.23096909139798,35.67548080356363,53063.65657981245,0.14256932487363236,0.158735704473564,0.06723147838465399,Kyrgyz Republic,68.2233199904003
Laos,LAO,2017,1254.9140474531748,917.7442513088988,642.5306306222401,59297.362407184606,2.116306689724072,1.5476982686125391,1.083573711441151,Lao PDR,16.0818658450471
Latvia,LVA,2017,1.677991056378238,0.9882142057961688,4.498540364205704,43869.81863299391,0.0038249327411539447,0.0022526060890822692,0.010254294420133325,Latvia,95.1908583413694
Lebanon,LBN,2017,53.43886993236403,3.930949769050831,33.34340204147561,50468.39259409516,0.10588581721268535,0.007788933958460875,0.06606788987643886,Lebanon,47.7
Lithuania,LTU,2017,4.0486820344403265,2.5112112500539903,8.331899167900694,63247.34936302585,0.006401346578497359,0.003970460857798468,0.01317351517780995,Lithuania,92.042865008264
Luxembourg,LUX,2017,0.41487913354919903,0.2316289284065865,1.2410837958105476,6361.338900905248,0.006521883836281066,0.003641197741777673,0.019509788979076962,Luxembourg,99.72467621926809
Malaysia,MYS,2017,334.2735181010187,40.88962570394553,343.0909116171879,207628.63420836907,0.1609958661894164,0.019693635157716296,0.16524257982300913,Malaysia,93.3292784612772
Malta,MLT,2017,0.09077059621345633,0.08959161329160993,1.1061965836281016,6682.6356037878895,0.0013583053393185951,0.0013406628552487152,0.01655329796826092,Malta,100.00000221354901
Mexico,MEX,2017,1741.3419684972164,1000.457583506271,1207.6387394473688,798885.5886078562,0.21797138330304486,0.12523164740644224,0.1511654180108329,Mexico,42.870309895754
Moldova,MDA,2017,5.818296903803063,5.0686719802174816,28.583437052440768,71505.56785056663,0.008136844554485916,0.007088499724678875,0.03997372220324835,Moldova,72.8779121047355
